제목,등록일,조회수,링크,본문
증권선물위원회 불공정거래 조치 현황(2023년~현재),2025-08-31,22426,https://fsc.go.kr/no070200/85148?srchCtgry=&curPage=1&srchKey=&srchText=,"구  분
2023년
2024년
2025년
~2026.8월
조
치
고  발
37명, 14개사
43명, 6개사
73명, 8개사
35명, 12개사
통  보
145명, 1개사
140명, 10개사
79명, 6개사
35명, 1개사
과징금
6명, 36개사
24명, 16개사
22개사
12명, 12개사
과태료
8명, 28개사
8명, 33개사
1명, 4개사
12명
,
12
개사
합계
196명, 79개사
215명, 65개사
153명, 40개사
94명, 37개사
* 부정거래, 시세조종, 미공개정보이용, 시장질서교란, 공매도규제 위반 포함"
2026년 제12차 증권선물위원회 불공정거래 위반 조치 의결,2026-08-21,276,https://fsc.go.kr/no070200/87623?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제12차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제178호 Pacific Alliance Investment Management HK Limited의 공매도 규제위반 조치안 (원안의결)
- Pacific Alliance Investment Management (HK) Limited는
2
021.11.29. □□□□□□□ □□□□□□□□ □□□□ □□□□□□
□
□
□
□
□
□
□
□
□
□
□
가
소
유
하
지
않
은
두
산
퓨
얼
셀
㈜
주
식
1
0
,
2
8
6
주
(
5
억
4
0
1
만
원
)
를
매
도
주
문
을
한
사
실
이
있
음"
2026년 제11차 증권선물위원회 불공정거래 위반 조치 의결,2026-08-07,700,https://fsc.go.kr/no070200/87491?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제11차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제157호 ㈜OOOOO 주식에 대한 미공개 중요정보 이용행위 금지 위반 과징금 부과 조치안 (원안의결)
- ●●●은 前 ㈜☆☆☆☆☆ 재무팀 공시담당자로서 본건 미공개 중요정보를 직무상 지득한 ’24.10.14. 14:13부터 해당 정보가 공개된 ’24.12.20. 15:18까지의 기간 동안, 해당 정보를 이용하여 본인 및 모친 명의 증권 계좌를 통해 ㈜☆☆☆☆☆ 주식 94,610주를 매수한 혐의가 있으며, 부친 ◆◆◆에게 ’24.11.20.경 해당 정보를 전달하여 정보공개 전까지 5,033주를 매수에 이용하게 한 혐의가 있음
- ◆◆◆은 ●●●으로부터 본건 미공개 중요정보를 ’24.11.20.경 전달받아, ’24.11.25.경부터 해당 정보가 공개된 ’24.12.20. 15:18경까지의 기간 동안, 해당 정보를 이용하여 본인 명의 계좌를 통해 ㈜☆☆☆☆☆ 주식 5,033주를 매수한 혐의가 있음
ㅁ 의결안건 제171호 한국투자증권㈜ 및 삼성증권㈜의 공매도 규제 위반 조치안 (수정의결)
- 한국투자증권㈜는 ’25.4.29. 본인이 소유하지 아니한 한화오션㈜ 주식 54,044주(45억 5,469만원)를 매도 주문 제출
- 삼성증권㈜는 ’25.4.15. 본인이 소유하지 아니한 삼성전자㈜ 주식 33,892주(19억 512만원)를 매도 주문 제출
ㅁ 의결안건 제172호 다올투자증권㈜의 공매도 규제 위반 조치안 (수정의결)
- 다올투자증권㈜는 ’21.5.13.~’22.8.2. 기간 중 ㈜BNK금융지주 등 395개 종목에 대한 534,349주(241억 7,948만원)의 차입공매도 주문을 제출하면서 동 주문이 공매도임을 표시하지 않음
ㅁ 의결안건 제173호 Morgan Stanley & Co. International PLC의 공매도 규제 위반 조치안 (수정의결)
- Morgan Stanley & Co. International PLC는 ’22.5.6. ㈜카카오 주식 4,622주(3억 9,564만원)의 차입공매도 주문을 모간스탠리증권 서울지점에 제출하면서 차입 공매도임을 표시하지 않았으며,
’22.8.2. 본인이 소유하지 않은 삼성전자㈜ 주식 14,372주(8억 8,244만원)을 매도 주문 제출
ㅁ 의결안건 제174호 B.Metzler Seel Sohn & Co. AG의 공매도 규제 위반 조치안 (수정의결)
- B.Metzler seel Sohn & Co. AG는 2022.1.27. 본인이 소유하지 않은 현대차㈜ 주식 51,216주(96억 3,691만원)를 매도 주문한 사실이 있음
* 의결안건 제157호는 비공개안건으로 안건은 비공개"
2026년 제10차 증권선물위원회 불공정거래 위반 조치 의결,2026-07-16,431,https://fsc.go.kr/no070200/87489?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제10차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제148호 ○○○○○㈜ 등 15개사 주식에 대한 미공개중요정보 이용행위 금지 위반 등 조치안(원안의결)
- ◍◍은 준내부자(△△△△△△ ▼▼▼▼▼▼)로서 ○○○○○㈜ 등 15개 종목에 대한 공개매수 실시 및 합병 결정 등 미공개중요정보(본 건 미공개정보)를 직무상 지득하고,
- ◍◍, ☎☎☎, ☏☏☏는 공모하여 본 건 미공개정보를 이용하고 부당이득을 나누어 취득한 혐의가 있음
- ☎☎☎은 ◍◍으로부터 본 건 미공개정보를 전달받아, ◆◆◆, ▭▭▭와 공모하여 이를 이용하고 부당이득을 나누어 취득하고, ☜☜☜, ☞☞☞, ↘↘↘에게 정보를 전달하여 이를 이용하게 한 혐의가 있음
- ◈◈◈는 ◍◍으로부터 본 건 미공개정보를 전달받고, ▰▰▰과 공모하여 이를 이용하고 부당이득을 나누어 취득한 혐의가 있음
- ▲▲▲는 ◍◍으로부터 본 건 미공개정보를 전달받고, 이를 이용하여 부당이득을 취하고, ⚃⚃⚃, ↙↙↙에게 정보를 전달하여 이를 이용하게 한 혐의가 있음
- ◆◆◆은 ◍◍으로부터 본 건 미공개정보를 전달받아 †††에게 전달하여 이를 이용하게 한 혐의가 있음
- ☜☜☜는 ☎☎☎으로부터 본 건 미공개정보를 전달받아, 이를 이용하여 부당이득을 취득하고, ‡‡‡에게 전달하여 이를 이용하게 한 혐의가 있음
- ☞☞☞은 ☎☎☎으로부터 본 건 미공개정보를 전달받아, 이를 이용하여 부당이득을 취득하고, ↕↕↕에게 전달하여 이를 이용하게 한 혐의가 있음
- ↘↘↘은 ☎☎☎으로부터 본 건 미공개정보를 전달받아, 이를 이용하여 부당이득을 취득하고, ↗↗↗에게 전달하여 이를 이용하게 한 혐의가 있음
ㅁ 의결안건 제149호 SOCIETE GENERALE S.A 등 24인의 공매도 순보유잔고 보고·공시의무 위반 조치안 (원안의결)
- SOCIETE GENERALE S.A. 등 24인은 ’21.6.14.~’26.3.5. 기간 중 순보유잔고 보고 및 공시의무가 발생하였음에도 기한 내에 보고하지 않고 지연 보고·공시한 사실이 있음
* 의결안건 제148호는 비공개 안건으로 안건은 비공개"
2026년 제9차 증권선물위원회 불공정거래 위반 조치 의결,2026-07-03,815,https://fsc.go.kr/no070200/87305?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제9차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제137호 Flow Traders Asia Pte Ltd의 공매도 규제 위반 조치안 (수정의결)
- Flow Traders Asia Pte Ltd는 ’22.12.14.~23.11.6. 기간 중 본인이 소유하지 아니한 ETF 3개 종목*을 총 1,043,896주(136억 5,630만원)를 매도 주문한 사실이 있음
* ACE 중국과창판STAR50, TIGER 미국필라델피아반도체나스닥, KODEX 반도체
ㅁ 의결안건 제138호 TIDAL INVESTMENTS LLC의 공매도 규제 위반 조치안 (원안의결)
- TIDAL INVESTMENTS LLC는 ’21.11.8. 동사가 운영하는 펀드가 소유하지 않은 S-Oil㈜ 1,160주(1억 1,832만원) 매도 주문을 제출
ㅁ 의결안건 제139호 LMR Partners Limited의 공매도 규제 위반 조치안 (원안의결)
- LMR Partners Limited는 ’21.12.9. 운용하는 펀드가 소유하지 않은 ㈜쿠콘 주식 753주(5,926만원)를 매도주문을 한 사실이 있음
ㅁ 의결안건 제140호 ㈜OOO 주식에 대한 미공개정보 이용 금지위반 우선심의 조치안(수정의결)
- ◇◇◇은 ●●●과 공모하여, ○○○의 내부자로 0000 회계연도 ‘감사의견 거절’이라는 미공개정보를 직무상 지득하고, ◕◕◕· ㈜◆◆◆◆에게 정보를 전달하여 동 정보 공개 이전 ‘25.4.3.~7. 동사 주식 223만주*를 매도하게 한 혐의가 있음
* 질권설정중인 ◍◍◍◍◍◍◍◍◍◍(131만주)과 ●●●(92만주) 명의 주식
- ○○○ 임직원 ▲▲▲는 본 건 미공개정보를 직무상 지득하고 동 정보 공개 이전 ‘25.3.27.~4.7. 기간 중 본인이 지배하는 ㈜△△△△△명의의 동사 주식 18만주를 매도한 혐의가 있음
* 의결안건 제140호는 비공개 안건으로 안건은 비공개"
2026년 제8차 증권선물위원회 불공정거래 위반 조치 의결,2026-06-19,645,https://fsc.go.kr/no070200/87304?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제8차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제111호 Tantallon Capital Advisors Pte Ltd의 공매도 규제 위반 조치안 (원안의결)
- Tantallon Capital Advisors Pte Ltd는 2022.10.11. □□□ □□□□□□□□□ □□□□가 소유하지 않은 삼성전자㈜ 주식 36,181주(19억 2,345만원)를 매도주문을 한 사실이 있음
ㅁ 의결안건 제112호 ㈜OOO 주식에 대한 부정거래행위 금지 위반 등 조치안 (원안의결)
- ㈜OOO 대표이사 ◉◉◉과 최대주주인 △△△△△△△유한회사 대표이사 ◈◈◈은 회사의 경영진으로서 인적분할 후 재상장을
추진하는 과정에서, 자회사를 외부 제3자에게 매각하여 연결재무제표에서 제외하는 등 방법으로
모회사의 자본잠식 우려를 해소하고 재무상태가 개선될 것처럼 가장할 목적으로,
- 인수법인이 사실상 혐의자들이 지배하는 등 외부 제3자에 대한
매
각이 아니었음에도, 마치 OOO와 무관한 제3자에게 매각하는
것처럼 가장하는 허위 자료를 제출하는 한편,
- 자회사의 주식가치를 과대평가하고 예상 매각대금을 과다산정하여
공시하는 등 주식 등 거래와 관련하여 부정한 수단, 계획 또는
기교를 사용하거나 공시서류 등에 중요사항을 누락 또는 거짓 기재함으로써
부
당
이득을 취득한 혐의가 있음
* 의결안건 제112호는 비공개 안건으로 안건은 비공개"
2026년 제7차 증권선물위원회 불공정거래 위반 조치 의결,2026-06-05,1022,https://fsc.go.kr/no070200/87153?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제7차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제101호 OOOO㈜ 주식에 대한 시세조종행위 금지 위반 조치안(원안의결)
-
☆☆은 일반투자자로서 ’17.3.21.∼’18.4.30. 기간 중 본인 등 총 13개 계좌를 동원하여 ◯◯◯◯ 주식을 매매하는 과정에서 시세를 상승시키기 위해 매매가 성황을 이루고 있는 듯이 잘못 알게 하거나 매매를 유인할 목적으로, 총 5,042회의 시세조종 주문을 제출한 혐의가 있음
ㅁ
의결안건 제102호 NH투자증권의 공매도 규제 위반 조치안(원안의결)
-
NH투자증권㈜는 ’21.7.23. KBSTAR Fn컨택트대표 ETF의 LP로서본인이 소유하지 아니한 동 ETF 15,960주(1,572만원)를 매도 주문한 사실이 있음
ㅁ
의결안건 제103호 Susquehanna Asia Trading Pty Ltd의 공매도 규제 위반 조치안(원안의결)
-
Susquehanna Asia Trading Pty Ltd는 ’22.09.22. 본인이 소유하지 아니한 TIGER 차이나전기차SOLACTIVE ETF 28,108주(3억 9,726만원)를 매도 주문한 사실이 있음
* 의결안건 제101호는 비공개 안건으로 안건은 비공개"
2026년 제6차 증권선물위원회 불공정거래 위반 조치 의결,2026-05-22,665,https://fsc.go.kr/no070200/87152?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제6차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제78호 ㈜OOOOO 주식에 대한 미공개중요정보 이용행위 금지 위반 등 조치안(원안의결)
- ☆☆☆은 ㈜○○○○○ 미등기 임원으로서, 자회사의 치료제가 알츠하이머 질병에 대해 동정적 사용을 신청하였다는 호재성 정보를업무상 지득하고, 동 정보가 공개되기 전 ’22.10.13.~11.1 기간 중 차명계좌로 동사 주식을 매수한 혐의가 있음
* 의결안건 제78호는 비공개안건으로 안건은 비공개"
2026년 제5차 증권선물위원회 불공정거래 위반 조치 의결,2026-05-08,1031,https://fsc.go.kr/no070200/86921?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제5차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제75호 Robeco Institutional Asset Management B.V.의 공매도 규제 위반 조치안(수정의결)
- Robeco Intitutional Asset Management B.V.는 ’24.6.12. 위탁받은 펀드가 소유하지 않은 ㈜브이티 및 ㈜솔루엠 주식 109,690주(35억 7,512만원) 매도 주문을 제출한 사실이 있음"
2026년 제4차 증권선물위원회 불공정거래 위반 조치 의결,2026-04-24,941,https://fsc.go.kr/no070200/86920?srchCtgry=&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2026년 제4차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제56호 Aperio Group LLC의 공매도 규제 위반 조치안 (원안의결)
-
Aperio Group LLC는 2021.9.16. □□□□□□□ □□□□□□□□□□□□□□□ □□□□□□이 소유하지 않은 삼성전자㈜ 주식333주(2,574만원)를 매도한 사실이 있음"
